# FILE : Model.dat
# Contains parameterisations for imaginary frequency
# polarizability model
#    alpha(i\omega)=a_1/(\omega^2+O_1^2) + a_1/(\omega^2+O_1^2)
#
# If you use this data please cite
#   Gould T. and Bucko T., J. Chem. Theory Comput., 2016, 12 (8), pp 3603–3613
#
# =============================================================
# Z N C6 a1 O1 a2 O2
01 00        0   0.0000   1.0000   0.0000   1.0000
01 01     6.50   0.6825   0.4039   0.3175   1.0104
01 02      647   0.6250   0.0897   1.3750   0.3343
02 01    0.102   0.6812   1.6148   0.3188   4.0225
02 02     1.38   1.0856   0.9573   0.9144   2.6092
03 01    0.009   0.8075   3.8554   0.1925  16.1585
03 02    0.077   1.1925   2.6337   0.8075   6.8851
03 03     1343   0.7860   0.0704   2.2140   2.1834
03 04    33610   1.2421   0.0333   2.7579   0.3622
04 01    0.002   0.9989   7.6868   0.0011  39.6798
04 02    0.011   1.9663   6.3409   0.0337  13.8247
04 03     62.2   0.5688   0.1595   2.4312   3.3255
04 04      278   1.4767   0.1818   2.5233   3.3113
05 02    0.003   1.9986  10.3687   0.0014  43.2030
05 03     9.60   0.4234   0.2462   2.5766   4.7967
05 04     30.8   1.1775   0.3284   2.8225   4.4838
05 05      138   1.9004   0.2746   3.0996   2.8797
05 06     2610   0.7320   0.0611   5.2680   0.4980
06 03     2.47   0.3295   0.3294   2.6705   6.6434
06 04     6.88   0.9269   0.4668   3.0731   5.7914
06 05     18.5   1.5022   0.4690   3.4978   3.9460
06 06     58.1   2.2621   0.4183   3.7379   3.1699
06 07      417   1.4706   0.1747   5.5294   1.1209
07 04     2.18   0.7442   0.5971   3.2558   7.4072
07 05     4.63   1.1045   0.6236   3.8955   4.9111
07 06     9.90   1.8414   0.6774   4.1586   4.3303
07 07     27.1   2.5922   0.6009   4.4078   3.7126
07 08      187   1.4175   0.2276   6.5825   1.4775
08 05     1.58   0.8357   0.7578   4.1643   6.1923
08 06     2.78   1.3355   0.8742   4.6645   5.2580
08 07     5.59   2.2652   0.9566   4.7348   5.1470
08 08     15.5   2.7732   0.7719   5.2268   4.1761
08 09     87.0   1.5376   0.3132   7.4624   1.9905
09 06     1.01   0.9706   1.0303   5.0294   6.4466
09 07     1.72   1.7248   1.2428   5.2752   6.2067
09 08     3.55   2.8302   1.2942   5.1698   6.3517
09 09     9.46   2.9450   0.9661   6.0550   4.8055
