# FILE : Model_Scaled.dat
# Contains parameterisations for imaginary frequency
# polarizability model
#    alpha(i\omega)=a_1/(\omega^2+O_1^2) + a_1/(\omega^2+O_1^2)
#
# If you use this data please cite
#   Gould T. and Bucko T., J. Chem. Theory Comput., 2016, 12 (8), pp 3603–3613
#
# =============================================================
# Z N C6 a1 O1 a2 O2
01 00        0   0.0000   1.0000   0.0000   1.0000
01 01     6.51   0.6825   0.4037   0.3175   1.0098
01 02     2404   0.6250   0.0579   1.3750   0.2158
02 01    0.109   0.6812   1.5787   0.3188   3.9325
02 02     1.47   1.0856   0.9359   0.9144   2.5508
03 01    0.009   0.8075   3.7968   0.1925  15.9130
03 02    0.079   1.1925   2.6059   0.8075   6.8125
03 03     1408   0.7860   0.0693   2.2140   2.1502
03 04    35172   1.2421   0.0328   2.7579   0.3567
04 01    0.001   0.9989   8.3896   0.0011  43.3079
04 02    0.001   1.9663  12.8238   0.0337  27.9589
04 03     70.3   0.5688   0.1531   2.4312   3.1924
04 04      214   1.4767   0.1984   2.5233   3.6141
05 02    0.002   1.9986  11.5815   0.0014  48.2565
05 03     6.89   0.4234   0.2750   2.5766   5.3578
05 04     25.2   1.1775   0.3512   2.8225   4.7950
05 05     99.2   1.9004   0.3067   3.0996   3.2165
05 06     1876   0.7320   0.0682   5.2680   0.5563
06 03     2.04   0.3295   0.3512   2.6705   7.0831
06 04     5.71   0.9269   0.4966   3.0731   6.1607
06 05     13.3   1.5022   0.5236   3.4978   4.4052
06 06     47.9   2.2621   0.4460   3.7379   3.3797
06 07      344   1.4706   0.1863   5.5294   1.1951
07 04     2.07   0.7442   0.6073   3.2558   7.5332
07 05     3.37   1.1045   0.6931   3.8955   5.4584
07 06     8.02   1.8414   0.7267   4.1586   4.6452
07 07     25.7   2.5922   0.6111   4.4078   3.7758
07 08      177   1.4175   0.2315   6.5825   1.5026
08 05     1.70   0.8357   0.7397   4.1643   6.0441
08 06     2.26   1.3355   0.9364   4.6645   5.6323
08 07     5.27   2.2652   0.9759   4.7348   5.2510
08 08     16.7   2.7732   0.7534   5.2268   4.0761
08 09      204   1.5376   0.2357   7.4624   1.4980
09 06     1.09   0.9706   1.0038   5.0294   6.2811
09 07     1.66   1.7248   1.2598   5.2752   6.2917
09 08     3.44   2.8302   1.3079   5.1698   6.4189
09 09     10.2   2.9450   0.9413   6.0550   4.6821
09 10     73.5   1.7195   0.3597   8.2805   2.2023
10 07    0.769   1.2529   1.3919   5.7471   7.0406
10 08     1.34   2.4999   1.7014   5.5001   7.6366
10 09     2.75   3.4082   1.5946   5.5918   7.3857
10 10     6.91   3.1603   1.1397   6.8397   5.3709
11 08    0.427   2.0271   2.2781   5.9729   9.6947
11 09    0.756   3.4605   2.4981   5.5395  10.7596
11 10     1.54   4.0189   2.1561   5.9811   9.5547
11 11     1566   0.9798   0.0777  10.0202   3.5645
11 12    42689   1.3862   0.0326  10.6138   1.1286
12 09    0.293   5.6814  13.6347   3.3186   3.3900
12 10    0.504   5.4365  14.5651   4.5635   3.3594
12 11      155   0.9379   0.1647  10.0621   4.8647
12 12      629   1.8727   0.1624  10.1273   4.8672
13 10    0.176   5.0987  21.1055   4.9013   4.9717
13 11     24.8   0.8739   0.2921  10.1261   7.3424
13 12     89.7   1.8117   0.3057  10.1883   7.2336
13 13      520   2.4419   0.2068  10.5581   5.1776
13 14     8638   1.2449   0.0540  12.7551   0.8787
14 11     9.07   0.8081   0.3902  10.1919   9.1571
14 12     29.2   1.6977   0.4278  10.3023   8.9974
14 13     94.8   2.5386   0.3749  10.4614   8.3522
14 14      308   3.2254   0.2962  10.7746   6.5942
14 15     1618   2.7835   0.1572  12.2165   2.3179
15 12     12.6   1.5780   0.5406  10.4220  10.7251
15 13     31.9   2.3731   0.5176  10.6269  10.0260
15 14     74.1   3.2288   0.4778  10.7712   9.4439
15 15      187   3.9364   0.3999  11.0636   7.8376
15 16      792   3.1394   0.2174  12.8606   2.7784
16 13     15.8   2.1793   0.6213  10.8207  11.0435
16 14     31.1   3.0191   0.6130  10.9809  10.6074
16 15     62.2   3.8887   0.5738  11.1113  10.1104
16 16      140   4.4693   0.4810  11.5307   8.0336
16 17      476   3.7132   0.2883  13.2868   3.4122
17 14     14.5   2.7766   0.7524  11.2234  11.8885
17 15     25.5   3.6551   0.7443  11.3449  11.6315
17 16     46.1   4.5137   0.7014  11.4863  11.0533
17 17     97.1   5.0208   0.5876  11.9792   8.7396
17 18      276   4.3597   0.3840  13.6403   4.3097
18 15     12.1   3.3808   0.9113  11.6192  12.9658
18 16     19.4   4.3116   0.9106  11.6884  12.9025
18 17     34.2   5.1219   0.8438  11.8781  12.0348
18 18     67.4   5.5830   0.7136  12.4170   9.5878
19 16     8.03   4.0408   1.1771  11.9592  15.2897
19 17     12.8   4.9540   1.1498  12.0460  15.0624
19 18     21.0   5.7291   1.0717  12.2709  14.0876
19 19     3914   1.0429   0.0603  17.9571   2.2869
19 20    87494   1.4359   0.0263  18.5641   1.1337
20 17     7.25   4.6979   1.3467  12.3021  16.3816
20 18     9.77   5.5966   1.3644  12.4034  16.8334
20 19      554   1.0879   0.1217  17.9121   2.9780
20 20     2232   2.0345   0.1137  17.9655   2.9077
21 18     6.19   5.3554   1.5486  12.6446  17.8124
21 19      165   1.1062   0.1870  17.8938   3.8376
21 20      531   2.0831   0.1883  17.9169   3.8058
21 21     1570   2.1582   0.1336  18.8418   3.0215
21 22  2377407   2.0261   0.0109  19.9739 188.4267
22 19     69.8   1.1103   0.2523  17.8897   4.7438
22 20      201   2.0655   0.2607  17.9345   4.7243
22 21      286   1.3256   0.1756  19.6744   3.4516
22 22     1203   2.1944   0.1481  19.8056   3.2022
22 23     5969   1.6410   0.0722  21.3590   1.6316
23 20     93.5   2.0251   0.3338  17.9749   5.7168
23 21      161   2.0861   0.2838  18.9139   5.0064
23 22      217   1.3656   0.1974  20.6344   3.7291
23 23      955   2.1868   0.1599  20.8132   3.4139
23 24     1044   2.2965   0.1612  21.7035   3.1643
24 21     61.8   1.1549   0.2732  19.8451   4.8373
24 22      110   1.2406   0.2354  20.7594   4.2194
24 23      236   1.3825   0.1944  21.6175   3.6066
24 24      709   1.5333   0.1422  22.4667   2.9290
24 25  1451996   0.0001   2.8531  24.9999   0.0686
25 22     61.6   2.0292   0.3865  19.9708   6.4832
25 23      105   2.1011   0.3305  20.8989   5.7337
25 24      132   1.3865   0.2375  22.6135   4.3845
25 25      635   2.1365   0.1808  22.8635   3.9456
25 26     5469   1.6449   0.0735  24.3551   2.2302
26 23     53.8   2.0271   0.4054  20.9729   6.7802
26 24     91.3   2.1004   0.3469  21.8996   6.0174
26 25      114   1.4022   0.2521  23.5978   4.6337
26 26      548   2.1353   0.1902  23.8647   4.1427
26 27    10956   1.1775   0.0467  25.8225   1.7148
27 24     45.6   2.0296   0.4293  21.9704   7.2467
